model,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,cable,42,degradation,motion_blur,moderate,none,0.6535794734954834
PaDiM,cable,42,degradation,motion_blur,severe,none,0.4880059957504272
PaDiM,cable,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5483508110046387
PaDiM,cable,42,degradation,sensor_noise,mild,none,0.6637930870056152
PaDiM,cable,42,degradation,sensor_noise,moderate,none,0.4885681867599487
PaDiM,cable,42,degradation,sensor_noise,severe,none,0.5024362802505493
PaDiM,cable,42,rescue,sensor_noise,severe,NLM Denoise,0.5400112867355347
PaDiM,cable,42,degradation,fog_haze,mild,none,0.7027735710144043
PaDiM,cable,42,degradation,fog_haze,moderate,none,0.6583582758903503
PaDiM,cable,42,degradation,fog_haze,severe,none,0.5710270404815674
PaDiM,cable,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.6045727133750916
PaDiM,cable,123,baseline,clean,none,none,0.8729385137557983
PaDiM,cable,123,degradation,low_light,mild,none,0.704835057258606
PaDiM,cable,123,degradation,low_light,moderate,none,0.6776611804962158
PaDiM,cable,123,degradation,low_light,severe,none,0.5804909467697144
PaDiM,cable,123,rescue,low_light,severe,CLAHE,0.6499249935150146
PaDiM,cable,123,rescue,low_light,severe,Retinex,0.6719452738761902
PaDiM,cable,123,degradation,gaussian_blur,mild,none,0.720952033996582
PaDiM,cable,123,degradation,gaussian_blur,moderate,none,0.6183470487594604
PaDiM,cable,123,degradation,gaussian_blur,severe,none,0.5556596517562866
PaDiM,cable,123,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,cable,123,degradation,motion_blur,mild,none,0.7378185987472534
PaDiM,cable,123,degradation,motion_blur,moderate,none,0.6379310488700867
PaDiM,cable,123,degradation,motion_blur,severe,none,0.5179910063743591
PaDiM,cable,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.4908170700073242
PaDiM,cable,123,degradation,sensor_noise,mild,none,0.4934408068656921
PaDiM,cable,123,degradation,sensor_noise,moderate,none,0.6324962377548218
PaDiM,cable,123,degradation,sensor_noise,severe,none,0.5732758045196533
PaDiM,cable,123,rescue,sensor_noise,severe,NLM Denoise,0.54076087474823
PaDiM,cable,123,degradation,fog_haze,mild,none,0.6330584287643433
PaDiM,cable,123,degradation,fog_haze,moderate,none,0.5863943099975586
PaDiM,cable,123,degradation,fog_haze,severe,none,0.453710675239563
PaDiM,cable,123,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5506933927536011
PaDiM,cable,456,baseline,clean,none,none,0.8678785562515259
PaDiM,cable,456,degradation,low_light,mild,none,0.7730509638786316
PaDiM,cable,456,degradation,low_light,moderate,none,0.6892803907394409
PaDiM,cable,456,degradation,low_light,severe,none,0.5303598046302795
PaDiM,cable,456,rescue,low_light,severe,CLAHE,0.5809594392776489
PaDiM,cable,456,rescue,low_light,severe,Retinex,0.6094452738761902
PaDiM,cable,456,degradation,gaussian_blur,mild,none,0.7837331295013428
PaDiM,cable,456,degradation,gaussian_blur,moderate,none,0.5254872441291809
PaDiM,cable,456,degradation,gaussian_blur,severe,none,0.4512743651866913
PaDiM,cable,456,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,cable,456,degradation,motion_blur,mild,none,0.580584704875946
PaDiM,cable,456,degradation,motion_blur,moderate,none,0.5762743949890137
PaDiM,cable,456,degradation,motion_blur,severe,none,0.5030921697616577
PaDiM,cable,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.5232383608818054
PaDiM,cable,456,degradation,sensor_noise,mild,none,0.7061468958854675
PaDiM,cable,456,degradation,sensor_noise,moderate,none,0.5251124501228333
PaDiM,cable,456,degradation,sensor_noise,severe,none,0.5489130020141602
PaDiM,cable,456,rescue,sensor_noise,severe,NLM Denoise,0.5327960848808289
PaDiM,cable,456,degradation,fog_haze,mild,none,0.7648050785064697
PaDiM,cable,456,degradation,fog_haze,moderate,none,0.6146926879882812
PaDiM,cable,456,degradation,fog_haze,severe,none,0.5460082292556763
PaDiM,cable,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.587893545627594
PaDiM,capsule,42,baseline,clean,none,none,0.8540087938308716
PaDiM,capsule,42,degradation,low_light,mild,none,0.5725966691970825
PaDiM,capsule,42,degradation,low_light,moderate,none,0.5424810647964478
PaDiM,capsule,42,degradation,low_light,severe,none,0.5
PaDiM,capsule,42,rescue,low_light,severe,CLAHE,0.5
PaDiM,capsule,42,rescue,low_light,severe,Retinex,0.5
PaDiM,capsule,42,degradation,gaussian_blur,mild,none,0.601914644241333
PaDiM,capsule,42,degradation,gaussian_blur,moderate,none,0.4742720127105713
PaDiM,capsule,42,degradation,gaussian_blur,severe,none,0.5
PaDiM,capsule,42,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,capsule,42,degradation,motion_blur,mild,none,0.6788990497589111
PaDiM,capsule,42,degradation,motion_blur,moderate,none,0.5436776876449585
PaDiM,capsule,42,degradation,motion_blur,severe,none,0.5
PaDiM,capsule,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PaDiM,capsule,42,degradation,sensor_noise,mild,none,0.4571200609207153
PaDiM,capsule,42,degradation,sensor_noise,moderate,none,0.5
PaDiM,capsule,42,degradation,sensor_noise,severe,none,0.5
PaDiM,capsule,42,rescue,sensor_noise,severe,NLM Denoise,0.6262465119361877
PaDiM,capsule,42,degradation,fog_haze,mild,none,0.6880733966827393
PaDiM,capsule,42,degradation,fog_haze,moderate,none,0.5241324305534363
PaDiM,capsule,42,degradation,fog_haze,severe,none,0.5
PaDiM,capsule,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PaDiM,capsule,123,baseline,clean,none,none,0.8368567824363708
PaDiM,capsule,123,degradation,low_light,mild,none,0.6765058040618896
PaDiM,capsule,123,degradation,low_light,moderate,none,0.4892301559448242
PaDiM,capsule,123,degradation,low_light,severe,none,0.6459912061691284
PaDiM,capsule,123,rescue,low_light,severe,CLAHE,0.6242520809173584
PaDiM,capsule,123,rescue,low_light,severe,Retinex,0.6535699963569641
PaDiM,capsule,123,degradation,gaussian_blur,mild,none,0.7303550243377686
PaDiM,capsule,123,degradation,gaussian_blur,moderate,none,0.5265257358551025
PaDiM,capsule,123,degradation,gaussian_blur,severe,none,0.5
PaDiM,capsule,123,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,capsule,123,degradation,motion_blur,mild,none,0.7351416349411011
PaDiM,capsule,123,degradation,motion_blur,moderate,none,0.5664140582084656
PaDiM,capsule,123,degradation,motion_blur,severe,none,0.4704826176166534
PaDiM,capsule,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.52173912525177
PaDiM,capsule,123,degradation,sensor_noise,mild,none,0.4964100420475006
PaDiM,capsule,123,degradation,sensor_noise,moderate,none,0.5287195444107056
PaDiM,capsule,123,degradation,sensor_noise,severe,none,0.4862385392189026
PaDiM,capsule,123,rescue,sensor_noise,severe,NLM Denoise,0.4816513657569885
PaDiM,capsule,123,degradation,fog_haze,mild,none,0.5929397344589233
PaDiM,capsule,123,degradation,fog_haze,moderate,none,0.4134423732757568
PaDiM,capsule,123,degradation,fog_haze,severe,none,0.4954128563404083
PaDiM,capsule,123,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PaDiM,capsule,456,baseline,clean,none,none,0.9525328874588012
PaDiM,capsule,456,degradation,low_light,mild,none,0.7726365923881531
PaDiM,capsule,456,degradation,low_light,moderate,none,0.809333860874176
PaDiM,capsule,456,degradation,low_light,severe,none,0.6529716849327087
PaDiM,capsule,456,rescue,low_light,severe,CLAHE,0.4672915935516357
PaDiM,capsule,456,rescue,low_light,severe,Retinex,0.6669325828552246
PaDiM,capsule,456,degradation,gaussian_blur,mild,none,0.6469884514808655
PaDiM,capsule,456,degradation,gaussian_blur,moderate,none,0.4770642220973968
PaDiM,capsule,456,degradation,gaussian_blur,severe,none,0.4944156110286712
PaDiM,capsule,456,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,capsule,456,degradation,motion_blur,mild,none,0.6015157699584961
PaDiM,capsule,456,degradation,motion_blur,moderate,none,0.4575189352035522
PaDiM,capsule,456,degradation,motion_blur,severe,none,0.5
PaDiM,capsule,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.5965297222137451
PaDiM,capsule,456,degradation,sensor_noise,mild,none,0.4976066946983337
PaDiM,capsule,456,degradation,sensor_noise,moderate,none,0.5594335794448853
PaDiM,capsule,456,degradation,sensor_noise,severe,none,0.4954128563404083
PaDiM,capsule,456,rescue,sensor_noise,severe,NLM Denoise,0.5879536867141724
PaDiM,capsule,456,degradation,fog_haze,mild,none,0.4938173294067383
PaDiM,capsule,456,degradation,fog_haze,moderate,none,0.5414838790893555
