model,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,cable,42,rescue,sensor_noise,moderate,NLM Denoise,0.8399550318717957
PatchCore,cable,42,degradation,fog_haze,mild,none,0.8605697154998779
PatchCore,cable,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.8630059957504272
PatchCore,cable,42,degradation,fog_haze,moderate,none,0.7850449681282043
PatchCore,cable,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.8309594988822937
PatchCore,cable,123,degradation,low_light,mild,none,0.9713268280029296
PatchCore,cable,123,rescue,low_light,mild,CLAHE,0.9767615795135498
PatchCore,cable,123,rescue,low_light,mild,Retinex,0.9387181997299194
PatchCore,cable,123,degradation,low_light,moderate,none,0.9269115328788756
PatchCore,cable,123,rescue,low_light,moderate,CLAHE,0.9619565606117249
PatchCore,cable,123,rescue,low_light,moderate,Retinex,0.9538980722427368
PatchCore,cable,123,degradation,gaussian_blur,mild,none,0.914730191230774
PatchCore,cable,123,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,cable,123,degradation,gaussian_blur,moderate,none,0.5123688578605652
PatchCore,cable,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,cable,123,degradation,motion_blur,mild,none,0.7822338938713074
PatchCore,cable,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,cable,123,degradation,motion_blur,moderate,none,0.5375750064849854
PatchCore,cable,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,cable,123,degradation,sensor_noise,mild,none,0.9597076773643494
PatchCore,cable,123,rescue,sensor_noise,mild,NLM Denoise,0.911356806755066
PatchCore,cable,123,degradation,sensor_noise,moderate,none,0.9269115328788756
PatchCore,cable,123,rescue,sensor_noise,moderate,NLM Denoise,0.8483883142471313
PatchCore,cable,123,degradation,fog_haze,mild,none,0.8753747940063477
PatchCore,cable,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.8789355158805847
PatchCore,cable,123,degradation,fog_haze,moderate,none,0.7844827175140381
PatchCore,cable,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.856821596622467
