model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,candle,456,baseline,clean,none,none,0.9079000353813172
PaDiM,VisA,candle,456,degradation,low_light,mild,none,0.7573999762535095
PaDiM,VisA,candle,456,rescue,low_light,mild,CLAHE,0.3562000095844269
PaDiM,VisA,candle,456,rescue,low_light,mild,Retinex,0.5552000403404236
PaDiM,VisA,candle,456,degradation,low_light,moderate,none,0.6298999786376953
PaDiM,VisA,candle,456,rescue,low_light,moderate,CLAHE,0.5652999877929688
PaDiM,VisA,candle,456,rescue,low_light,moderate,Retinex,0.5343999862670898
PaDiM,VisA,candle,456,degradation,low_light,severe,none,0.5
PaDiM,VisA,candle,456,rescue,low_light,severe,CLAHE,0.7427999973297119
PaDiM,VisA,candle,456,rescue,low_light,severe,Retinex,0.4805000126361847
PaDiM,VisA,candle,456,degradation,gaussian_blur,mild,none,0.5396999716758728
PaDiM,VisA,candle,456,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,candle,456,degradation,gaussian_blur,moderate,none,0.5
PaDiM,VisA,candle,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,candle,456,degradation,gaussian_blur,severe,none,0.5
PaDiM,VisA,candle,456,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,VisA,candle,456,degradation,motion_blur,mild,none,0.5297499895095825
PaDiM,VisA,candle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,456,degradation,motion_blur,moderate,none,0.5
PaDiM,VisA,candle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,456,degradation,motion_blur,severe,none,0.5
PaDiM,VisA,candle,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PaDiM,VisA,candle,456,degradation,sensor_noise,mild,none,0.5751000046730042
PaDiM,VisA,candle,456,rescue,sensor_noise,mild,NLM Denoise,0.4493499994277954
PaDiM,VisA,candle,456,degradation,sensor_noise,moderate,none,0.5
PaDiM,VisA,candle,456,rescue,sensor_noise,moderate,NLM Denoise,0.5371000170707703
PaDiM,VisA,candle,456,degradation,sensor_noise,severe,none,0.5
PaDiM,VisA,candle,456,rescue,sensor_noise,severe,NLM Denoise,0.5384999513626099
PaDiM,VisA,candle,456,degradation,fog_haze,mild,none,0.5
PaDiM,VisA,candle,456,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5
PaDiM,VisA,candle,456,degradation,fog_haze,moderate,none,0.5
PaDiM,VisA,candle,456,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PaDiM,VisA,candle,456,degradation,fog_haze,severe,none,0.5
PaDiM,VisA,candle,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PaDiM,VisA,capsules,42,baseline,clean,none,none,0.5734999775886536
PaDiM,VisA,capsules,42,degradation,low_light,mild,none,0.5362499952316284
PaDiM,VisA,capsules,42,rescue,low_light,mild,CLAHE,0.5135833024978638
PaDiM,VisA,capsules,42,rescue,low_light,mild,Retinex,0.4204999804496765
PaDiM,VisA,capsules,42,degradation,low_light,moderate,none,0.5534999370574951
PaDiM,VisA,capsules,42,rescue,low_light,moderate,CLAHE,0.4954999685287475
PaDiM,VisA,capsules,42,rescue,low_light,moderate,Retinex,0.4368333518505096
PaDiM,VisA,capsules,42,degradation,low_light,severe,none,0.5348333120346069
PaDiM,VisA,capsules,42,rescue,low_light,severe,CLAHE,0.5184999704360962
PaDiM,VisA,capsules,42,rescue,low_light,severe,Retinex,0.6011666655540466
PaDiM,VisA,capsules,42,degradation,gaussian_blur,mild,none,0.6015000343322754
PaDiM,VisA,capsules,42,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,capsules,42,degradation,gaussian_blur,moderate,none,0.5491666793823242
PaDiM,VisA,capsules,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,capsules,42,degradation,gaussian_blur,severe,none,0.5280000567436218
PaDiM,VisA,capsules,42,rescue,gaussian_blur,severe,Wiener,0.5
