model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,VisA,candle,456,rescue,low_light,mild,Retinex,0.5973999500274658
PatchCore,VisA,candle,456,degradation,low_light,moderate,none,0.6227999925613403
PatchCore,VisA,candle,456,rescue,low_light,moderate,CLAHE,0.5
PatchCore,VisA,candle,456,rescue,low_light,moderate,Retinex,0.5
PatchCore,VisA,candle,456,degradation,low_light,severe,none,0.5
PatchCore,VisA,candle,456,rescue,low_light,severe,CLAHE,0.5
PatchCore,VisA,candle,456,rescue,low_light,severe,Retinex,0.5
PatchCore,VisA,candle,456,degradation,gaussian_blur,mild,none,0.9101000428199768
PatchCore,VisA,candle,456,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,VisA,candle,456,degradation,gaussian_blur,moderate,none,0.5
PatchCore,VisA,candle,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,candle,456,degradation,gaussian_blur,severe,none,0.5
PatchCore,VisA,candle,456,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,VisA,candle,456,degradation,motion_blur,mild,none,0.8337000012397766
PatchCore,VisA,candle,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,456,degradation,motion_blur,moderate,none,0.5
PatchCore,VisA,candle,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,456,degradation,motion_blur,severe,none,0.5
PatchCore,VisA,candle,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PatchCore,VisA,candle,456,degradation,sensor_noise,mild,none,0.5
PatchCore,VisA,candle,456,rescue,sensor_noise,mild,NLM Denoise,0.4691500067710876
PatchCore,VisA,candle,456,degradation,sensor_noise,moderate,none,0.5
PatchCore,VisA,candle,456,rescue,sensor_noise,moderate,NLM Denoise,0.5
PatchCore,VisA,candle,456,degradation,sensor_noise,severe,none,0.5
PatchCore,VisA,candle,456,rescue,sensor_noise,severe,NLM Denoise,0.5
PatchCore,VisA,candle,456,degradation,fog_haze,mild,none,0.5099999904632568
PatchCore,VisA,candle,456,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5
PatchCore,VisA,candle,456,degradation,fog_haze,moderate,none,0.5
PatchCore,VisA,candle,456,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PatchCore,VisA,candle,456,degradation,fog_haze,severe,none,0.5
PatchCore,VisA,candle,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PatchCore,VisA,capsules,42,baseline,clean,none,none,0.7173332571983337
PatchCore,VisA,capsules,42,degradation,low_light,mild,none,0.7595000267028809
PatchCore,VisA,capsules,42,rescue,low_light,mild,CLAHE,0.6635833382606506
PatchCore,VisA,capsules,42,rescue,low_light,mild,Retinex,0.684999942779541
PatchCore,VisA,capsules,42,degradation,low_light,moderate,none,0.7418333292007446
PatchCore,VisA,capsules,42,rescue,low_light,moderate,CLAHE,0.5803333520889282
PatchCore,VisA,capsules,42,rescue,low_light,moderate,Retinex,0.7510000467300415
PatchCore,VisA,capsules,42,degradation,low_light,severe,none,0.5
PatchCore,VisA,capsules,42,rescue,low_light,severe,CLAHE,0.5
PatchCore,VisA,capsules,42,rescue,low_light,severe,Retinex,0.5981666445732117
PatchCore,VisA,capsules,42,degradation,gaussian_blur,mild,none,0.6881666779518127
PatchCore,VisA,capsules,42,rescue,gaussian_blur,mild,Wiener,0.5
PatchCore,VisA,capsules,42,degradation,gaussian_blur,moderate,none,0.5
PatchCore,VisA,capsules,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,VisA,capsules,42,degradation,gaussian_blur,severe,none,0.5
PatchCore,VisA,capsules,42,rescue,gaussian_blur,severe,Wiener,0.5
PatchCore,VisA,capsules,42,degradation,motion_blur,mild,none,0.6608332991600037
PatchCore,VisA,capsules,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,42,degradation,motion_blur,moderate,none,0.5
PatchCore,VisA,capsules,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,42,degradation,motion_blur,severe,none,0.5
PatchCore,VisA,capsules,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PatchCore,VisA,capsules,42,degradation,sensor_noise,mild,none,0.6288333535194397
PatchCore,VisA,capsules,42,rescue,sensor_noise,mild,NLM Denoise,0.5098333358764648
PatchCore,VisA,capsules,42,degradation,sensor_noise,moderate,none,0.4900000095367431
PatchCore,VisA,capsules,42,rescue,sensor_noise,moderate,NLM Denoise,0.5
PatchCore,VisA,capsules,42,degradation,sensor_noise,severe,none,0.5
PatchCore,VisA,capsules,42,rescue,sensor_noise,severe,NLM Denoise,0.5
PatchCore,VisA,capsules,42,degradation,fog_haze,mild,none,0.6596666574478149
PatchCore,VisA,capsules,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5083333253860474
PatchCore,VisA,capsules,42,degradation,fog_haze,moderate,none,0.5418334007263184
PatchCore,VisA,capsules,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5
PatchCore,VisA,capsules,42,degradation,fog_haze,severe,none,0.5
PatchCore,VisA,capsules,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PatchCore,VisA,capsules,123,baseline,clean,none,none,0.7505000233650208
PatchCore,VisA,capsules,123,degradation,low_light,mild,none,0.762833297252655
PatchCore,VisA,capsules,123,rescue,low_light,mild,CLAHE,0.6623333096504211
PatchCore,VisA,capsules,123,rescue,low_light,mild,Retinex,0.6545000076293945
PatchCore,VisA,capsules,123,degradation,low_light,moderate,none,0.7350000143051147
PatchCore,VisA,capsules,123,rescue,low_light,moderate,CLAHE,0.6140833497047424
PatchCore,VisA,capsules,123,rescue,low_light,moderate,Retinex,0.7451666593551636
