model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,held_out
PaDiM,MVTec-AD,hazelnut,42,degradation,sensor_noise,mild,none,0.5,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,hazelnut,42,degradation,sensor_noise,moderate,none,0.5,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,hazelnut,42,degradation,sensor_noise,severe,none,0.5,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,hazelnut,42,degradation,fog_haze,mild,none,0.9614285230636597,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,hazelnut,42,degradation,fog_haze,moderate,none,0.762499988079071,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,hazelnut,42,degradation,fog_haze,severe,none,0.5950000286102295,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,hazelnut,42,degradation,fog_haze,mild,none,0.44535714387893677,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,hazelnut,42,degradation,fog_haze,moderate,none,0.5055357217788696,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,hazelnut,42,degradation,fog_haze,severe,none,0.5,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,screw,42,degradation,low_light,mild,none,0.8917810916900635,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,screw,42,degradation,low_light,moderate,none,0.8638041019439697,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,screw,42,degradation,low_light,severe,none,0.6212338209152222,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,screw,42,degradation,low_light,mild,none,0.516191840171814,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,screw,42,degradation,low_light,moderate,none,0.5021520853042603,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,screw,42,degradation,low_light,severe,none,0.6084238290786743,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,screw,42,degradation,gaussian_blur,mild,none,0.7484115958213806,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,screw,42,degradation,gaussian_blur,moderate,none,0.5,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,screw,42,degradation,gaussian_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,screw,42,degradation,gaussian_blur,mild,none,0.6091412901878357,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,screw,42,degradation,gaussian_blur,moderate,none,0.5,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,screw,42,degradation,gaussian_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,screw,42,degradation,motion_blur,mild,none,0.6191843152046204,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,screw,42,degradation,motion_blur,moderate,none,0.5,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,screw,42,degradation,motion_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,screw,42,degradation,motion_blur,mild,none,0.6295347213745117,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,screw,42,degradation,motion_blur,moderate,none,0.5,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,screw,42,degradation,motion_blur,severe,none,0.5,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,screw,42,degradation,sensor_noise,mild,none,0.6597663164138794,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,screw,42,degradation,sensor_noise,moderate,none,0.49159663915634155,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,screw,42,degradation,sensor_noise,severe,none,0.5,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,screw,42,degradation,sensor_noise,mild,none,0.49159663915634155,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,screw,42,degradation,sensor_noise,moderate,none,0.5,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,screw,42,degradation,sensor_noise,severe,none,0.5,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,screw,42,degradation,fog_haze,mild,none,0.42898139357566833,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,screw,42,degradation,fog_haze,moderate,none,0.5,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,screw,42,degradation,fog_haze,severe,none,0.5,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,screw,42,degradation,fog_haze,mild,none,0.37425702810287476,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,screw,42,degradation,fog_haze,moderate,none,0.36728838086128235,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,screw,42,degradation,fog_haze,severe,none,0.35068660974502563,augmented_loco,leave_one_corruption_out,fog_haze
