model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,held_out
PaDiM,MVTec-AD,grid,42,degradation,gaussian_blur,moderate,none,0.7343358397483826,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,grid,42,degradation,gaussian_blur,severe,none,0.817878007888794,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,grid,42,degradation,motion_blur,mild,none,0.7944862842559814,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,grid,42,degradation,motion_blur,moderate,none,0.46198830008506775,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,grid,42,degradation,motion_blur,severe,none,0.5480367541313171,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,grid,42,degradation,motion_blur,mild,none,0.6791979670524597,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,grid,42,degradation,motion_blur,moderate,none,0.530492901802063,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,grid,42,degradation,motion_blur,severe,none,0.5196323990821838,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,grid,42,degradation,sensor_noise,mild,none,0.8922306299209595,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,grid,42,degradation,sensor_noise,moderate,none,0.732664942741394,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,grid,42,degradation,sensor_noise,severe,none,0.5923141241073608,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,grid,42,degradation,sensor_noise,mild,none,0.38512948155403137,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,grid,42,degradation,sensor_noise,moderate,none,0.39849624037742615,augmented_loco,leave_one_corruption_out,sensor_noise
PaDiM,MVTec-AD,grid,42,degradation,sensor_noise,severe,none,0.37343358993530273,augmented_loco,leave_one_corruption_out,sensor_noise
PatchCore,MVTec-AD,grid,42,degradation,fog_haze,mild,none,0.8337510824203491,augmented_loco,leave_one_corruption_out,fog_haze
