model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,applied_to
PaDiM,MVTec-AD,carpet,42,rescue,low_light,moderate,NLM Denoise,0.9197431802749634,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,carpet,42,rescue,low_light,severe,NLM Denoise,0.7235152721405029,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,clean,none,CLAHE,0.9757727384567261,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,grid,42,rescue,clean,none,Retinex,0.9741019010543823,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,grid,42,rescue,clean,none,Wiener,0.791144609451294,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,grid,42,rescue,clean,none,Wiener (Motion PSF),0.5,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,grid,42,rescue,clean,none,NLM Denoise,0.9908103942871094,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,grid,42,rescue,clean,none,Dehaze (Dark Channel),0.8629908561706543,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,grid,42,rescue,fog_haze,mild,CLAHE,0.7878028154373169,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,fog_haze,moderate,CLAHE,0.6073517203330994,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,fog_haze,severe,CLAHE,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,motion_blur,mild,Wiener,0.523809552192688,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,motion_blur,moderate,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,motion_blur,severe,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,grid,42,rescue,gaussian_blur,mild,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
