model,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,leather,42,rescue,gaussian_blur,moderate,Wiener,0.5224184989929199
PaDiM,leather,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.9181386232376099
PaDiM,leather,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.9147418737411499
PaDiM,leather,123,rescue,gaussian_blur,mild,Wiener,0.99558424949646
PaDiM,leather,123,rescue,gaussian_blur,moderate,Wiener,0.48556387424468994
PaDiM,leather,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9758831858634949
PaDiM,leather,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.79076087474823
PaDiM,leather,456,rescue,gaussian_blur,mild,Wiener,0.8243886232376099
PaDiM,leather,456,rescue,gaussian_blur,moderate,Wiener,0.6569293737411499
PaDiM,leather,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.90455162525177
PaDiM,leather,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.792119562625885
PaDiM,metal_nut,42,rescue,gaussian_blur,mild,Wiener,0.7126100063323975
PaDiM,metal_nut,42,rescue,gaussian_blur,moderate,Wiener,0.5615835785865784
PaDiM,metal_nut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5161290168762207
PaDiM,metal_nut,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.49217984080314636
PaDiM,metal_nut,123,rescue,gaussian_blur,mild,Wiener,0.619012713432312
PaDiM,metal_nut,123,rescue,gaussian_blur,moderate,Wiener,0.49462366104125977
PaDiM,metal_nut,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6168133020401001
PaDiM,metal_nut,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5742912888526917
PaDiM,metal_nut,456,rescue,gaussian_blur,mild,Wiener,0.6994134783744812
PaDiM,metal_nut,456,rescue,gaussian_blur,moderate,Wiener,0.582844614982605
PaDiM,metal_nut,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5874877572059631
PaDiM,metal_nut,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5122189521789551
PaDiM,pill,42,rescue,gaussian_blur,mild,Wiener,0.6688488721847534
PaDiM,pill,42,rescue,gaussian_blur,moderate,Wiener,0.515821099281311
PaDiM,pill,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.40452808141708374
PaDiM,pill,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4566284716129303
PaDiM,pill,123,rescue,gaussian_blur,mild,Wiener,0.6767594218254089
PaDiM,pill,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,pill,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.4929077923297882
PaDiM,pill,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4929077923297882
PaDiM,pill,456,rescue,gaussian_blur,mild,Wiener,0.6440261602401733
PaDiM,pill,456,rescue,gaussian_blur,moderate,Wiener,0.4931805729866028
PaDiM,pill,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5024549961090088
PaDiM,pill,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4819967448711395
