model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,fryum,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5083999633789062
PaDiM,VisA,macaroni1,42,rescue,gaussian_blur,mild,Wiener,0.651900053024292
PaDiM,VisA,macaroni1,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,macaroni1,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.6661999821662903
PaDiM,VisA,macaroni1,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.529900074005127
PaDiM,VisA,macaroni1,123,rescue,gaussian_blur,mild,Wiener,0.6798499822616577
PaDiM,VisA,macaroni1,123,rescue,gaussian_blur,moderate,Wiener,0.5049999952316284
PaDiM,VisA,macaroni1,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.669950008392334
PaDiM,VisA,macaroni1,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5501500368118286
PaDiM,VisA,macaroni1,456,rescue,gaussian_blur,mild,Wiener,0.663100004196167
PaDiM,VisA,macaroni1,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,macaroni1,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6636000275611877
PaDiM,VisA,macaroni1,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5601000189781189
PaDiM,VisA,macaroni2,42,rescue,gaussian_blur,mild,Wiener,0.5024000406265259
PaDiM,VisA,macaroni2,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,macaroni2,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.500499963760376
PaDiM,VisA,macaroni2,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4248499870300293
PaDiM,VisA,macaroni2,123,rescue,gaussian_blur,mild,Wiener,0.47999995946884155
PaDiM,VisA,macaroni2,123,rescue,gaussian_blur,moderate,Wiener,0.5049999952316284
PaDiM,VisA,macaroni2,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5709499716758728
PaDiM,VisA,macaroni2,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5652999877929688
PaDiM,VisA,macaroni2,456,rescue,gaussian_blur,mild,Wiener,0.45135000348091125
PaDiM,VisA,macaroni2,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,macaroni2,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5697999596595764
PaDiM,VisA,macaroni2,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.505299985408783
PaDiM,VisA,pcb1,42,rescue,gaussian_blur,mild,Wiener,0.5805000066757202
PaDiM,VisA,pcb1,42,rescue,gaussian_blur,moderate,Wiener,0.4950999915599823
PaDiM,VisA,pcb1,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5812000036239624
PaDiM,VisA,pcb1,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5664999485015869
PaDiM,VisA,pcb1,123,rescue,gaussian_blur,mild,Wiener,0.5559499859809875
PaDiM,VisA,pcb1,123,rescue,gaussian_blur,moderate,Wiener,0.454800009727478
