model,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,leather,42,rescue,gaussian_blur,moderate,Wiener,0.4959239363670349
PaDiM,leather,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.8899456262588501
PaDiM,leather,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.7965353727340698
PaDiM,leather,123,rescue,gaussian_blur,mild,Wiener,0.990828812122345
PaDiM,leather,123,rescue,gaussian_blur,moderate,Wiener,0.5662363767623901
PaDiM,leather,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9656928777694702
PaDiM,leather,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.7958559989929199
PaDiM,leather,456,rescue,gaussian_blur,mild,Wiener,0.95652174949646
PaDiM,leather,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,leather,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.8828125
PaDiM,leather,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.7800611257553101
PaDiM,metal_nut,42,rescue,gaussian_blur,mild,Wiener,0.6671554446220398
PaDiM,metal_nut,42,rescue,gaussian_blur,moderate,Wiener,0.4833822250366211
PaDiM,metal_nut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.565493643283844
PaDiM,metal_nut,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4301075339317322
PaDiM,metal_nut,123,rescue,gaussian_blur,mild,Wiener,0.6124144792556763
PaDiM,metal_nut,123,rescue,gaussian_blur,moderate,Wiener,0.5171065330505371
PaDiM,metal_nut,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.6495600938796997
PaDiM,metal_nut,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.597262978553772
PaDiM,metal_nut,456,rescue,gaussian_blur,mild,Wiener,0.7324046492576599
PaDiM,metal_nut,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,metal_nut,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.6422287225723267
PaDiM,metal_nut,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.511974573135376
PaDiM,pill,42,rescue,gaussian_blur,mild,Wiener,0.6050190925598145
PaDiM,pill,42,rescue,gaussian_blur,moderate,Wiener,0.5602836608886719
PaDiM,pill,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.37479543685913086
PaDiM,pill,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4026186466217041
PaDiM,pill,123,rescue,gaussian_blur,mild,Wiener,0.5624659061431885
PaDiM,pill,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,pill,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,pill,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,pill,456,rescue,gaussian_blur,mild,Wiener,0.689170777797699
PaDiM,pill,456,rescue,gaussian_blur,moderate,Wiener,0.5120022296905518
PaDiM,pill,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.4401254653930664
PaDiM,pill,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5050464272499084
PaDiM,screw,42,rescue,gaussian_blur,mild,Wiener,0.6519778966903687
PaDiM,screw,42,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,screw,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.587210476398468
PaDiM,screw,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5487804412841797
