model,category,seed,phase,ctype,severity,rescue,image_AUROC
PatchCore,leather,42,rescue,gaussian_blur,moderate,Wiener,0.515625
PatchCore,leather,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.9976223111152649
PatchCore,leather,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.923233687877655
PatchCore,leather,123,rescue,gaussian_blur,mild,Wiener,1.0
PatchCore,leather,123,rescue,gaussian_blur,moderate,Wiener,0.515625
PatchCore,leather,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.9969429969787598
PatchCore,leather,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.91745924949646
PatchCore,leather,456,rescue,gaussian_blur,mild,Wiener,1.0
PatchCore,leather,456,rescue,gaussian_blur,moderate,Wiener,0.515625
PatchCore,leather,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.9972826242446899
PatchCore,leather,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.9290081262588501
PatchCore,metal_nut,42,rescue,gaussian_blur,mild,Wiener,0.9560117125511169
PatchCore,metal_nut,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,metal_nut,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.47311827540397644
PatchCore,metal_nut,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4784946143627167
PatchCore,metal_nut,123,rescue,gaussian_blur,mild,Wiener,0.9550342559814453
PatchCore,metal_nut,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,metal_nut,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.48924732208251953
PatchCore,metal_nut,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.4784946143627167
PatchCore,metal_nut,456,rescue,gaussian_blur,mild,Wiener,0.9565005302429199
PatchCore,metal_nut,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,metal_nut,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.49144676327705383
PatchCore,metal_nut,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.40640273690223694
PatchCore,pill,42,rescue,gaussian_blur,mild,Wiener,0.8458811044692993
PatchCore,pill,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,pill,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,pill,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,pill,123,rescue,gaussian_blur,mild,Wiener,0.826241135597229
PatchCore,pill,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,pill,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,pill,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,pill,456,rescue,gaussian_blur,mild,Wiener,0.8256955146789551
PatchCore,pill,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,pill,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,pill,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,screw,42,rescue,gaussian_blur,mild,Wiener,0.6097561120986938
PatchCore,screw,42,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,screw,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,screw,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,screw,123,rescue,gaussian_blur,mild,Wiener,0.6204140186309814
PatchCore,screw,123,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,screw,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PatchCore,screw,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PatchCore,screw,456,rescue,gaussian_blur,mild,Wiener,0.6222586631774902
PatchCore,screw,456,rescue,gaussian_blur,moderate,Wiener,0.5
PatchCore,screw,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
